ood_set,n_total,n_alerts,explanation_coverage,suppression_only_rate,actionable_explanation_precision,avg_rules_per_alert,avg_positive_components_per_alert
injection,66,40,0.5,0.225,0.9,0.85,0.3
injection_standard,68,49,0.40816326530612246,0.08163265306122448,0.75,0.8163265306122449,0.2653061224489796
primary,66,14,0.2857142857142857,0.0,1.0,0.2857142857142857,0.2857142857142857
