analysis_region,trigger_rule,count,ood_name
ood_deployment_threshold,procedural::ordered_steps,3,ood_test
ood_deployment_threshold,procedural::suppressed_unanchored,3,ood_test
ood_near_1pct_fpr,procedural::ordered_steps,1,ood_test
ood_near_1pct_fpr,procedural::suppressed_unanchored,1,ood_test
