split_tag,stage,slice_name,n_slice_positive,ibvs_component,activation_rate_on_slice_positive,ood_name
B,OOD,harm_intent_like,19,hierarchy_override,0.0,ood_test
B,OOD,harm_intent_like,19,system_spoof,0.0,ood_test
B,OOD,harm_intent_like,19,interaction_system_hierarchy_spoof_chain,0.0,ood_test
B,OOD,harm_intent_like,19,high_specific_risk_anchor,0.0,ood_test
B,OOD,harm_intent_like,19,tripwire_alert,0.0,ood_test
B,OOD,harm_intent_like,19,harm_domain,0.6842105263157895,ood_test
B,OOD,harm_intent_like,19,evasion,0.3157894736842105,ood_test
B,OOD,boundary_override_like,16,hierarchy_override,0.1875,ood_test_injection
B,OOD,boundary_override_like,16,system_spoof,0.0,ood_test_injection
B,OOD,boundary_override_like,16,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection
B,OOD,boundary_override_like,16,high_specific_risk_anchor,0.0,ood_test_injection
B,OOD,boundary_override_like,16,tripwire_alert,0.0,ood_test_injection
B,OOD,boundary_override_like,16,harm_domain,0.4375,ood_test_injection
B,OOD,boundary_override_like,16,evasion,0.0625,ood_test_injection
B,OOD,harm_intent_like,99,hierarchy_override,0.0,ood_test_injection
B,OOD,harm_intent_like,99,system_spoof,0.0,ood_test_injection
B,OOD,harm_intent_like,99,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection
B,OOD,harm_intent_like,99,high_specific_risk_anchor,0.0,ood_test_injection
B,OOD,harm_intent_like,99,tripwire_alert,0.0,ood_test_injection
B,OOD,harm_intent_like,99,harm_domain,0.9393939393939394,ood_test_injection
B,OOD,harm_intent_like,99,evasion,0.1212121212121212,ood_test_injection
B,OOD,boundary_override_like,375,hierarchy_override,0.4426666666666666,ood_test_injection_standard
B,OOD,boundary_override_like,375,system_spoof,0.0026666666666666,ood_test_injection_standard
B,OOD,boundary_override_like,375,interaction_system_hierarchy_spoof_chain,0.0,ood_test_injection_standard
B,OOD,boundary_override_like,375,high_specific_risk_anchor,0.0,ood_test_injection_standard
B,OOD,boundary_override_like,375,tripwire_alert,0.0026666666666666,ood_test_injection_standard
B,OOD,boundary_override_like,375,harm_domain,0.0186666666666666,ood_test_injection_standard
B,OOD,boundary_override_like,375,evasion,0.008,ood_test_injection_standard
