family,split_tag,model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
ablation,A,M1_TFIDF_ONLY,OOD,0.7138643067846607,0.6889172697601816,0.9282430669618874,0.9379356253426266,0.3333333333333333,0.6548672566371682,0.8289085545722714,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M1_TFIDF_ONLY,OOD,0.8643067846607669,0.8642642642642643,0.9282430669618874,0.9379356253426266,0.3333333333333333,0.6548672566371682,0.8289085545722714,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.6415929203539823,0.5887678310681792,0.7047358435216216,0.793388501666362,0.0117994100294985,0.0766961651917404,0.2359882005899705,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.7463126843657817,0.7452397388956369,0.7047358435216216,0.793388501666362,0.0117994100294985,0.0766961651917404,0.2359882005899705,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.964,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.7053672316384181,0.05,0.6330275229357798,1.0,0.0,0.0,37.0,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6460176991150443,0.5962683604605002,0.6477074285735741,0.7605050425944779,0.0088495575221238,0.0353982300884955,0.1150442477876106,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.724188790560472,0.724053724053724,0.6477074285735741,0.7605050425944779,0.0088495575221238,0.0353982300884955,0.1150442477876106,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.640117994100295,0.5865729680018393,0.6753080128174032,0.7702073598384978,0.0088495575221238,0.0707964601769911,0.168141592920354,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.7492625368731564,0.7449661459485772,0.6753080128174032,0.7702073598384978,0.0088495575221238,0.0707964601769911,0.168141592920354,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.938,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.640117994100295,0.5865729680018393,0.6810562473125295,0.7747670138616962,0.0088495575221238,0.079646017699115,0.1887905604719764,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test_injection,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.7566371681415929,0.7513353471902695,0.6810562473125295,0.7747670138616962,0.0088495575221238,0.079646017699115,0.1887905604719764,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.94,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0,ood_test_injection,,,,,,,,,,,,,,,
