model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
TRANSFORMER_ROBERTA_BASE,VAL,0.9798657718120806,0.9741633431593549,0.999167812579998,0.9977064220183487,0.9541284403669725,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.396; val_fpr=0.0500; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,TEST,0.9865771812080537,0.9829128440366972,0.9951051820716263,0.9891598915989159,0.6296296296296297,1.0,1.0,,,policy=macro_f1; t*=0.396; val_fpr=0.0500; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,OOD,0.7786458333333334,0.7782608695652173,0.9011148087686585,0.8898247612847223,0.3880208333333333,0.5989583333333334,0.6822916666666666,,,policy=macro_f1; t*=0.396; val_fpr=0.0500; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,VAL,0.9865771812080537,0.9826340326340326,0.9994995554123571,0.9986238532110091,0.9724770642201835,1.0,1.0,,,policy=macro_f1; t*=0.028; val_fpr=0.0500; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,TEST,0.9731543624161074,0.9658256880733944,0.9957553137892443,0.9902890695573623,0.6666666666666666,0.9907407407407407,0.9907407407407407,,,policy=macro_f1; t*=0.028; val_fpr=0.0500; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,OOD,0.7981770833333334,0.7947667592492021,0.8844107236788172,0.8807373046875,0.3359375,0.5364583333333334,0.6015625,,,policy=macro_f1; t*=0.028; val_fpr=0.0500; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
