model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
TRANSFORMER_ROBERTA_BASE,VAL,0.9731543624161074,0.9663504968383017,0.9969830639248709,0.9908256880733946,0.9357798165137615,0.9724770642201835,0.9724770642201835,,,policy=macro_f1; t*=0.988; val_fpr=0.0250; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,TEST,0.9328859060402684,0.9145642201834863,0.9898471623236558,0.9751580849141824,0.5833333333333334,0.8796296296296297,0.9537037037037037,,,policy=macro_f1; t*=0.988; val_fpr=0.0250; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,OOD,0.73828125,0.7378541358516327,0.8800407512385564,0.8617723253038194,0.4739583333333333,0.578125,0.6067708333333334,,,policy=macro_f1; t*=0.988; val_fpr=0.0250; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,VAL,0.9731543624161074,0.9668446817979528,0.9977295569885619,0.993348623853211,0.963302752293578,0.963302752293578,0.981651376146789,,,policy=macro_f1; t*=0.978; val_fpr=0.0000; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,TEST,0.9463087248322147,0.9327009936766034,0.9913350994881076,0.979223125564589,0.6851851851851852,0.8888888888888888,0.9722222222222222,,,policy=macro_f1; t*=0.978; val_fpr=0.0000; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,OOD,0.7565104166666666,0.7522251532461617,0.8616549046408359,0.8459269205729166,0.3333333333333333,0.5364583333333334,0.609375,,,policy=macro_f1; t*=0.978; val_fpr=0.0000; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
