model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,VAL,0.9731543624161074,0.9663504968383017,0.9969830639248709,0.9908256880733946,0.9357798165137615,0.9724770642201835,0.9724770642201835,,,policy=macro_f1; t*=0.928; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,TEST,0.9328859060402684,0.9145642201834863,0.9908232714792213,0.9769647696476964,0.6296296296296297,0.8888888888888888,0.9537037037037037,,,policy=macro_f1; t*=0.928; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,OOD,0.7408854166666666,0.7403461439791776,0.8810122727833702,0.8624064127604167,0.484375,0.5807291666666666,0.609375,,,policy=macro_f1; t*=0.928; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,VAL,0.9731543624161074,0.9663504968383017,0.9969830639248709,0.9908256880733946,0.9357798165137615,0.9724770642201835,0.9724770642201835,,,policy=macro_f1; t*=0.925; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,TEST,0.9328859060402684,0.9145642201834863,0.9908232714792213,0.9769647696476964,0.6296296296296297,0.8888888888888888,0.9537037037037037,,,policy=macro_f1; t*=0.925; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,OOD,0.73828125,0.7378541358516327,0.8810122727833702,0.8624064127604167,0.484375,0.5807291666666666,0.609375,,,policy=macro_f1; t*=0.925; val_macro_f1=0.9664; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
