model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,VAL,0.9798657718120806,0.974569039085168,0.9889885327874973,0.9817073170731708,0.3148148148148148,0.9907407407407407,1.0,,,policy=macro_f1; t*=0.072; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,TEST,0.9731543624161074,0.9646752015173068,0.991806476385128,0.9826834862385322,0.4954128440366973,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.072; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,OOD,0.7330729166666666,0.7258093448438607,0.871171231074477,0.8512946234809028,0.4479166666666667,0.5729166666666666,0.6041666666666666,,,policy=macro_f1; t*=0.072; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,VAL,0.9798657718120806,0.974569039085168,0.9889885327874973,0.9817073170731708,0.3148148148148148,0.9907407407407407,1.0,,,policy=macro_f1; t*=0.071; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,TEST,0.9731543624161074,0.9646752015173068,0.991806476385128,0.9826834862385322,0.4954128440366973,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.071; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,OOD,0.734375,0.7270275355955591,0.871171231074477,0.8512946234809028,0.4479166666666667,0.5729166666666666,0.6041666666666666,,,policy=macro_f1; t*=0.071; val_macro_f1=0.9746; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
