model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.9060402684563759,0.8692982456140351,0.9695735087405076,0.9362385321100918,0.2018348623853211,0.7064220183486238,0.8532110091743119,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.8456375838926175,0.7737206999009574,0.9448173606958312,0.9144083107497742,0.07407407407407407,0.7037037037037037,0.8425925925925926,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6458333333333334,0.6336597547630405,0.755727564832366,0.7391832139756944,0.11458333333333333,0.2864583333333333,0.4322916666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.7718120805369127,0.7550290135396518,0.9695735087405076,0.9362385321100918,0.2018348623853211,0.7064220183486238,0.8532110091743119,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.7785234899328859,0.7613222659094219,0.9448173606958312,0.9144083107497742,0.07407407407407407,0.7037037037037037,0.8425925925925926,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6354166666666666,0.599496390550618,0.755727564832366,0.7391832139756944,0.11458333333333333,0.2864583333333333,0.4322916666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.912751677852349,0.879816342991872,0.9678627100068686,0.9323394495412844,0.21100917431192662,0.7614678899082569,0.8073394495412844,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.8389261744966443,0.7495798319327731,0.9416934567527381,0.8958897922312556,0.08333333333333333,0.49074074074074076,0.6296296296296297,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6354166666666666,0.6205533596837944,0.7575650400374749,0.7422417534722222,0.06770833333333333,0.3125,0.4140625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.8120805369127517,0.7932196669310071,0.9678627100068686,0.9323394495412844,0.21100917431192662,0.7614678899082569,0.8073394495412844,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9380000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.785234899328859,0.7636796193497224,0.9416934567527381,0.8958897922312556,0.08333333333333333,0.49074074074074076,0.6296296296296297,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9380000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6588541666666666,0.6380798894900426,0.7575650400374749,0.7422417534722222,0.06770833333333333,0.3125,0.4140625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9380000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,0.9060402684563759,0.8692982456140351,0.9699464808156792,0.9341743119266055,0.24770642201834864,0.7522935779816514,0.7798165137614679,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,TEST,0.8322147651006712,0.7423393511793595,0.9488724922698266,0.8995031616982836,0.14814814814814814,0.49074074074074076,0.6481481481481481,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.6393229166666666,0.62400781903114,0.7562322674556278,0.7392035590277778,0.0859375,0.3020833333333333,0.4192708333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,0.8053691275167785,0.7867752282260054,0.9699464808156792,0.9341743119266055,0.24770642201834864,0.7522935779816514,0.7798165137614679,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9400000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,TEST,0.7986577181208053,0.7742424242424242,0.9488724922698266,0.8995031616982836,0.14814814814814814,0.49074074074074076,0.6481481481481481,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9400000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.66015625,0.6392218128542348,0.7562322674556278,0.7392035590277778,0.0859375,0.3020833333333333,0.4192708333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.9400000000000001,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0
