model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
TRANSFORMER_ROBERTA_BASE,VAL,0.9798657718120806,0.974569039085168,0.9871868179408486,0.9801264679313461,0.25925925925925924,0.9907407407407407,1.0,,,policy=macro_f1; t*=0.147; val_fpr=0.0488; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,TEST,0.9731543624161074,0.9646752015173068,0.9904544734000055,0.9805045871559633,0.44036697247706424,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.147; val_fpr=0.0488; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_ROBERTA_BASE,OOD,0.734375,0.7270275355955591,0.8701000274806936,0.8507622612847223,0.4453125,0.5703125,0.6015625,,,policy=macro_f1; t*=0.147; val_fpr=0.0488; score=transformer_proba; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,VAL,0.9731543624161074,0.9668446817979528,0.9976181677187762,0.9936766034327009,0.8796296296296297,0.9722222222222222,0.9814814814814815,,,policy=macro_f1; t*=0.482; val_fpr=0.0244; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,TEST,0.9261744966442953,0.9052655915843015,0.996058864954983,0.9889908256880734,0.8807339449541285,0.9541284403669725,0.9541284403669725,,,policy=macro_f1; t*=0.482; val_fpr=0.0244; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
TRANSFORMER_DEBERTA_BASE,OOD,0.7135416666666666,0.7114103588923733,0.8482981698602416,0.8354560004340278,0.3411458333333333,0.4921875,0.5442708333333334,,,policy=macro_f1; t*=0.482; val_fpr=0.0244; score=transformer_proba; backbone=microsoft/deberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,microsoft/deberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
