model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.9194630872483222,0.8990514905149052,0.9381580550903847,0.9202800361336947,0.009259259259259259,0.37962962962962965,0.8055555555555556,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.665; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.665,macro_f1,,,False,False,0.8990514905149052,0.8990514905149052,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.8657718120805369,0.8317524841915086,0.9589670988717014,0.9043577981651376,0.3302752293577982,0.5412844036697247,0.8165137614678899,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.665; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.665,macro_f1,,,False,False,0.8990514905149052,0.8990514905149052,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6822916666666666,0.6821860562931203,0.7440617475632489,0.722439236111111,0.049479166666666664,0.3307291666666667,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.665; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.665,macro_f1,,,False,False,0.8990514905149052,0.8990514905149052,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,0.5369127516778524,0.5369127516778524,0.9381580550903847,0.9202800361336947,0.009259259259259259,0.37962962962962965,0.8055555555555556,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.995; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.995,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8990514905149052,0.5369127516778524,0.024390243902439025,0.37037037037037035,1.0,-0.025609756097560978,0.0,6.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,0.4563758389261745,0.4528267670127397,0.9589670988717014,0.9043577981651376,0.3302752293577982,0.5412844036697247,0.8165137614678899,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.995; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.995,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8990514905149052,0.5369127516778524,0.024390243902439025,0.37037037037037035,1.0,-0.025609756097560978,0.0,6.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.5390625,0.42168182630374296,0.7440617475632489,0.722439236111111,0.049479166666666664,0.3307291666666667,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.995; target_fpr=0.05; val_fpr=0.024; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.995,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8990514905149052,0.5369127516778524,0.024390243902439025,0.37037037037037035,1.0,-0.025609756097560978,0.0,6.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.9060402684563759,0.8839563862928349,0.9478579654547767,0.9164408310749774,0.05555555555555555,0.5092592592592593,0.8518518518518519,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.625; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.625,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.8389261744966443,0.8038613426941641,0.9693413310807432,0.9172018348623854,0.5871559633027523,0.6697247706422018,0.8073394495412844,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.625; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.625,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.69140625,0.6914015411612116,0.7555538459440571,0.7362433539496527,0.09895833333333333,0.3307291666666667,0.40625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.625; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.625,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,VAL,0.6308724832214765,0.6265664160401002,0.9478579654547767,0.9164408310749774,0.05555555555555555,0.5092592592592593,0.8518518518518519,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,17.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,TEST,0.5838926174496645,0.5829721921271217,0.9693413310807432,0.9172018348623854,0.5871559633027523,0.6697247706422018,0.8073394495412844,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,17.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.59375,0.5272727272727273,0.7555538459440571,0.7362433539496527,0.09895833333333333,0.3307291666666667,0.40625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,17.0
