split_tag,eval_track,experiment,model,split,ood_name,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_val_fpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,m3_val_t_star,m3_threshold_mode,m3_val_fpr_at_t_star,m3_val_fpr_constraint_satisfied,hybrid_variant,tau_low,tau_high,score_definition,ibvs_boost_alpha,ibvs_high_precision_rule,tuning_source,fusion_margin,fusion_alpha,ibvs_gate_definition,calibration_method,source_file,threshold_policy,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,m3_val_macro_f1_best,m3_val_macro_f1_at_t_star,m3_val_tpr_at_t_star,repeatability_n_splits,macro_f1_repeat_mean,macro_f1_repeat_std,macro_f1_repeat_ci95_low,macro_f1_repeat_ci95_high,tpr_at_1pct_fpr_repeat_mean,tpr_at_1pct_fpr_repeat_std,tpr_at_1pct_fpr_repeat_ci95_low,tpr_at_1pct_fpr_repeat_ci95_high,tpr_at_5pct_fpr_repeat_mean,tpr_at_5pct_fpr_repeat_std,tpr_at_5pct_fpr_repeat_ci95_low,tpr_at_5pct_fpr_repeat_ci95_high,tpr_at_10pct_fpr_repeat_mean,tpr_at_10pct_fpr_repeat_std,tpr_at_10pct_fpr_repeat_ci95_low,tpr_at_10pct_fpr_repeat_ci95_high
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,VAL,id,0.7718,0.755,0.9696,0.9362,0.2018,0.7064,0.8532,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.963,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7550290135396518,0.7064220183486238,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,TEST,id,0.7785,0.7613,0.9448,0.9144,0.0741,0.7037,0.8426,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.963,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7550290135396518,0.7064220183486238,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,ood_test,0.6354,0.5995,0.7557,0.7392,0.1146,0.2865,0.4323,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.963,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7550290135396518,0.7064220183486238,0.0,38.0,,,,,,,,,,,,,,,,,,,3.0,0.5508,0.1129,0.423,0.6786,0.0807,0.0326,0.0438,0.1177,0.3047,0.0231,0.2785,0.3309,0.4036,0.03,0.3696,0.4376
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,ood_test_injection,0.7242,0.7241,0.6477,0.7605,0.0088,0.0354,0.115,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.963,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7550290135396518,0.7064220183486238,0.0,38.0,,,,,,,,,,,,,,,,,,,3.0,0.6316,0.2336,0.3672,0.896,0.0088,0.003,0.0055,0.0122,0.0393,0.0238,0.0124,0.0663,0.1239,0.0639,0.0516,0.1961
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,ood_test_injection_standard,0.6365,0.635,0.624,0.6815,0.0135,0.0923,0.1776,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.963,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection_standard.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7550290135396518,0.7064220183486238,0.0,38.0,,,,,,,,,,,,,,,,,,,3.0,0.5616,0.119,0.4269,0.6963,0.0134,0.0043,0.0085,0.0182,0.0955,0.02,0.0729,0.1181,0.1803,0.0387,0.1365,0.2241
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,id,0.8054,0.7868,0.9699,0.9342,0.2477,0.7523,0.7798,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.94,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7867752282260054,0.7522935779816514,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,TEST,id,0.7987,0.7742,0.9489,0.8995,0.1481,0.4907,0.6481,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.94,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7867752282260054,0.7522935779816514,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,ood_test,0.6602,0.6392,0.7562,0.7392,0.0859,0.3021,0.4193,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.94,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7867752282260054,0.7522935779816514,0.0,61.0,,,,,,,,,,,,,,,,,,,3.0,0.5884,0.0477,0.5344,0.6424,0.0894,0.0185,0.0685,0.1103,0.2865,0.0413,0.2397,0.3332,0.4245,0.0045,0.4194,0.4296
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,ood_test_injection,0.7566,0.7513,0.6811,0.7748,0.0088,0.0796,0.1888,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.94,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7867752282260054,0.7522935779816514,0.0,61.0,,,,,,,,,,,,,,,,,,,3.0,0.6536,0.1498,0.4842,0.8231,0.0118,0.0078,0.003,0.0206,0.0639,0.0435,0.0147,0.1131,0.1583,0.0714,0.0775,0.2391
A,deployment_threshold,ablation,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,ood_test_injection_standard,0.6322,0.6239,0.6159,0.6702,0.0186,0.0813,0.1781,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,0.94,low_fpr_enforced_macro_best,0.05,0.02,0.05,1.0,0.0,,,,,,,,,,,,,,,,metrics_ablation_splitA__ood-ood_test_injection_standard.csv,low_fpr_enforced,True,True,0.8692982456140351,0.7867752282260054,0.7522935779816514,0.0,61.0,,,,,,,,,,,,,,,,,,,3.0,0.6072,0.0309,0.5722,0.6421,0.0224,0.0034,0.0186,0.0263,0.1035,0.0228,0.0777,0.1294,0.2024,0.0399,0.1572,0.2475
