model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,VAL,0.9798657718120806,0.9741633431593549,0.9990804381806969,0.9974770642201836,0.944954128440367,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.398; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,TEST,0.9865771812080537,0.9829128440366972,0.9942096582144593,0.9878048780487805,0.5648148148148148,1.0,1.0,,,policy=macro_f1; t*=0.398; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_TOTAL_LOGREG,OOD,0.7838541666666666,0.7830065359477124,0.9017377117304854,0.8884006076388888,0.4348958333333333,0.609375,0.6848958333333334,,,policy=macro_f1; t*=0.398; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=total; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,total,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,VAL,0.9798657718120806,0.9741633431593549,0.9990804381806969,0.9974770642201836,0.944954128440367,0.9908256880733946,1.0,,,policy=macro_f1; t*=0.394; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,TEST,0.9865771812080537,0.9829128440366972,0.9942096582144593,0.9878048780487805,0.5648148148148148,1.0,1.0,,,policy=macro_f1; t*=0.394; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps,deployment_threshold,id,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
HYBRID_ROBERTA_IBVS_STRUCTURED_LOGREG,OOD,0.7838541666666666,0.7830065359477124,0.9017436847820886,0.8884073893229166,0.4348958333333333,0.609375,0.6848958333333334,,,policy=macro_f1; t*=0.394; val_macro_f1=0.9742; score=late_fusion_logreg; base=TRANSFORMER_ROBERTA_BASE; feature_mode=structured; C=0.1; train_score_source=in_sample_roberta_train_scores; backbone=roberta-base; max_len=256; epochs=3; lr=2e-05; device=mps; ood_name=ood_test,deployment_threshold,ood_test,TRANSFORMER_ROBERTA_BASE,logistic_regression,structured,0.1,in_sample_roberta_train_scores,roberta-base,256,2e-05,3,8,16,0.01,0.1,42,mps
